id,cluster,accident_year,latitude,longitude,n_serious,n_fatal,danger_rank,gmaps_link,date,time,junction_detail,junction_control
201201TA00181,154,2012,51.570589,-0.09587,1,0,76.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.570589+-0.09587,2012-03-06,18:35,Crossroads,Auto traffic signal
2017010041453,154,2017,51.570737,-0.096006,1,0,76.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.570737+-0.096006,2017-06-03,20:45,Crossroads,Auto traffic signal
2017010078320,154,2017,51.570562,-0.096302,1,0,76.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.570562+-0.096302,2017-12-15,15:55,T or staggered junction,Auto traffic signal
2019010177218,154,2019,51.570517,-0.096318,1,0,76.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.570517+-0.096318,2019-04-26,09:13,More than 4 arms (not roundabout),Auto traffic signal
200301TW00323,248,2003,51.46461,-0.266858,1,0,77.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.46461+-0.266858,2003-07-20,06:55,Crossroads,Auto traffic signal
200701TW60250,248,2007,51.464612,-0.267002,1,0,77.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.464612+-0.267002,2007-08-04,10:20,Crossroads,Auto traffic signal
200901TW60332,248,2009,51.46461,-0.266858,1,0,77.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.46461+-0.266858,2009-10-05,18:45,Crossroads,Auto traffic signal
201101TA00784,248,2011,51.46461,-0.266858,1,0,77.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.46461+-0.266858,2011-03-28,07:50,Crossroads,Auto traffic signal
201101TA01681,248,2011,51.46461,-0.266858,1,0,77.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.46461+-0.266858,2011-11-01,21:00,Crossroads,Auto traffic signal
201301TW60180,248,2013,51.464608,-0.266715,1,0,77.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.464608+-0.266715,2013-06-04,08:18,Crossroads,Auto traffic signal
2018010113760,248,2018,51.464754,-0.266849,1,0,77.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.464754+-0.266849,2018-05-14,08:45,T or staggered junction,Auto traffic signal
200901MM79011,449,2009,51.507074,-0.105293,1,0,78.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.507074+-0.105293,2009-12-11,07:30,Slip road,Give way or uncontrolled
201101TB01452,449,2011,51.507062,-0.104573,1,0,78.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.507062+-0.104573,2011-10-05,03:01,Crossroads,Auto traffic signal
2017010050860,449,2017,51.507118,-0.104568,1,0,78.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.507118+-0.104568,2017-07-27,19:20,Crossroads,Auto traffic signal
2018010102839,449,2018,51.507115,-0.104424,1,0,78.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.507115+-0.104424,2018-04-18,21:15,Crossroads,Auto traffic signal
2018010144333,449,2018,51.507118,-0.104568,1,0,78.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.507118+-0.104568,2018-11-09,07:45,More than 4 arms (not roundabout),Auto traffic signal
2019010182883,449,2019,51.507083,-0.104627,1,0,78.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.507083+-0.104627,2019-05-23,23:40,More than 4 arms (not roundabout),Auto traffic signal
200801CW10209,412,2008,51.514928,-0.135234,1,0,79.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.514928+-0.135234,2008-02-19,15:47,T or staggered junction,Give way or uncontrolled
201301CW10833,412,2013,51.514746,-0.135098,1,0,79.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.514746+-0.135098,2013-06-03,13:30,T or staggered junction,Give way or uncontrolled
2017010018639,412,2017,51.515168,-0.135509,1,0,79.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.515168+-0.135509,2017-02-11,18:15,Crossroads,Give way or uncontrolled
